SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1
SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1
State or DC
GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
38000,North Dakota,18215,19162,20177,21446,22705,23806,25103,26461,28053,29670,31270,32599,33073,34383,37306,40360,41855,43307,43358,43099,43083,44511,45787,45008,49209,52631
39000,Ohio,19369,20378,21532,22914,23795,24551,25607,26680,27894,28793,29841,30314,29795,30782,31961,32988,33966,34939,35898,36834,38164,39380,40364,39700,44215,47768
40000,Oklahoma,16764,17491,18383,19516,20335,20796,21807,22845,24387,25666,26843,27817,27008,27938,29179,29898,30561,31579,31787,32267,33224,34621,35108,34747,38889,42046
41000,Oregon,20238,21132,22310,23612,24217,24853,25816,27456,28979,30430,31593,31897,30958,31718,32654,33247,34050,35437,36853,37857,39694,41613,42776,42277,47649,52159
42000,Pennsylvania,20798,21883,23220,24801,25856,26760,28267,29739,31201,32456,33722,34787,34343,35654,36832,37515,38298,39200,40187,41003,42352,44338,45489,44184,48874,53703
44000,Rhode Island,20188,21279,22474,24122,25189,26320,27981,29375,31105,32520,33846,34434,34118,34690,35569,35785,36792,38081,39037,39826,41044,42598,43673,43199,48711,52820
45000,South Carolina,18228,19062,20158,21305,21945,22591,23526,24904,26362,27490,28740,29323,28588,29678,30726,31114,31960,33050,33927,34947,35995,37178,38340,38134,42930,46220
46000,South Dakota,17395,18231,19344,20478,21386,22270,23503,24997,26610,28171,29197,30415,30309,31811,32751,33929,34566,35484,36505,37560,38776,40368,41346,41284,45944,48997
47000,Tennessee,19207,19899,20950,22102,22577,23201,24018,25215,26499,27592,28709,29062,28370,29336,30434,31037,31462,32483,33227,34300,35610,36770,38004,37751,42741,46280
48000,Texas,19040,20040,21123,22526,23377,23808,24570,25690,27215,28314,29473,30200,29593,30573,31908,32894,33814,35204,36040,36749,38066,39450,40509,40235,45460,49082
49000,Utah,17658,18257,18974,20027,20586,21222,22025,23398,24734,26129,27456,27808,26763,26919,27777,28727,29418,30720,31671,33023,34424,36280,37734,38228,43850,48189
50000,Vermont,21306,22528,23938,25541,26934,28064,29590,31301,33059,34444,35819,36976,36954,38121,39856,40771,41462,42775,43236,43655,44891,47255,48187,47168,51197,55743
51000,Virginia,20721,21809,23245,24772,25688,26744,28112,29888,31765,33267,34647,35537,34817,35834,36761,37422,37935,38807,39389,40164,41093,42644,43669,42913,48003,52057
53000,Washington,21054,22788,24191,25767,26227,26895,28174,29696,31270,32914,34389,35397,34437,35123,36277,37192,38217,39582,40656,41937,43736,45821,47202,46208,52155,56567
54000,West Virginia,16586,17355,18325,19401,20210,21000,21847,23097,24258,25238,26240,27267,27627,28720,29997,30767,31406,32156,33121,34297,35123,36710,37645,37395,41273,44460
55000,Wisconsin,19530,20564,21823,23235,24124,24937,26184,27585,28907,30197,31169,31956,31480,32465,33535,34032,34729,35815,36631,37578,39054,40432,41453,40430,45491,49284
56000,Wyoming,18963,20184,21566,22979,23867,24616,26018,27757,29663,31550,33548,34161,33487,34006,35845,36878,37723,39564,39653,40452,41471,42888,43862,44286,48858,52403
91000,New England,23610,24995,26532,28358,29622,30674,32296,34149,36048,37727,39018,39956,39354,40396,41530,42287,43192,44487,45767,46919,48684,50516,51758,50711,56522,61033
92000,Mideast,21485,22665,24048,25705,26744,27704,29166,30829,32652,34308,35787,36811,36250,37400,38535,39323,40216,41550,42497,43538,45005,46940,48343,46801,52278,57134
