"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1972","1972","EUR","Euro","0","Units",,,0.386279,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1973","1973","EUR","Euro","0","Units",,,0.35015,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1974","1974","EUR","Euro","0","Units",,,0.346703,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1975","1975","EUR","Euro","0","Units",,,0.345023,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1976","1976","EUR","Euro","0","Units",,,0.402095,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1977","1977","EUR","Euro","0","Units",,,0.45654,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1978","1978","EUR","Euro","0","Units",,,0.460783,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1979","1979","EUR","Euro","0","Units",,,0.403429,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1980","1980","EUR","Euro","0","Units",,,0.430937,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1981","1981","EUR","Euro","0","Units",,,0.554865,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1982","1982","EUR","Euro","0","Units",,,0.660267,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1983","1983","EUR","Euro","0","Units",,,0.862031,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1984","1984","EUR","Euro","0","Units",,,0.966193,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1985","1985","EUR","Euro","0","Units",,,1.021986,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1986","1986","EUR","Euro","0","Units",,,0.841708,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1987","1987","EUR","Euro","0","Units",,,0.74212,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1988","1988","EUR","Euro","0","Units",,,0.7001,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1989","1989","EUR","Euro","0","Units",,,0.711464,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1990","1990","EUR","Euro","0","Units",,,0.612635,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1991","1991","EUR","Euro","0","Units",,,0.624521,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1992","1992","EUR","Euro","0","Units",,,0.615311,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1993","1993","EUR","Euro","0","Units",,,0.764851,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1994","1994","EUR","Euro","0","Units",,,0.805104,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1995","1995","EUR","Euro","0","Units",,,0.749396,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1996","1996","EUR","Euro","0","Units",,,0.761251,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1997","1997","EUR","Euro","0","Units",,,0.879964,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1998","1998","EUR","Euro","0","Units",,,0.897884,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1999","1999","EUR","Euro","0","Units",,,0.938283,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,1.082705,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,1.116533,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1970","1970","NZD","New Zealand Dollar","0","Units",,,0.892857,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1971","1971","NZD","New Zealand Dollar","0","Units",,,0.880607,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1972","1972","NZD","New Zealand Dollar","0","Units",,,0.83668,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1973","1973","NZD","New Zealand Dollar","0","Units",,,0.736812,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1974","1974","NZD","New Zealand Dollar","0","Units",,,0.715403,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1975","1975","NZD","New Zealand Dollar","0","Units",,,0.832307,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1976","1976","NZD","New Zealand Dollar","0","Units",,,1.004889,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1977","1977","NZD","New Zealand Dollar","0","Units",,,1.030312,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1978","1978","NZD","New Zealand Dollar","0","Units",,,0.964425,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1979","1979","NZD","New Zealand Dollar","0","Units",,,0.978502,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1980","1980","NZD","New Zealand Dollar","0","Units",,,1.02668,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1981","1981","NZD","New Zealand Dollar","0","Units",,,1.152795,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1982","1982","NZD","New Zealand Dollar","0","Units",,,1.332608,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1983","1983","NZD","New Zealand Dollar","0","Units",,,1.496773,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1984","1984","NZD","New Zealand Dollar","0","Units",,,1.763992,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1985","1985","NZD","New Zealand Dollar","0","Units",,,2.023372,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1986","1986","NZD","New Zealand Dollar","0","Units",,,1.913161,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1987","1987","NZD","New Zealand Dollar","0","Units",,,1.694561,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1988","1988","NZD","New Zealand Dollar","0","Units",,,1.526401,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1989","1989","NZD","New Zealand Dollar","0","Units",,,1.672148,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1990","1990","NZD","New Zealand Dollar","0","Units",,,1.676203,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1991","1991","NZD","New Zealand Dollar","0","Units",,,1.733514,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1992","1992","NZD","New Zealand Dollar","0","Units",,,1.861792,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1993","1993","NZD","New Zealand Dollar","0","Units",,,1.850513,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1994","1994","NZD","New Zealand Dollar","0","Units",,,1.686522,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1995","1995","NZD","New Zealand Dollar","0","Units",,,1.523877,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1996","1996","NZD","New Zealand Dollar","0","Units",,,1.454848,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1997","1997","NZD","New Zealand Dollar","0","Units",,,1.512421,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1998","1998","NZD","New Zealand Dollar","0","Units",,,1.868249,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1999","1999","NZD","New Zealand Dollar","0","Units",,,1.889614,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","NZD","New Zealand Dollar","0","Units",,,2.201149,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2001","2001","NZD","New Zealand Dollar","0","Units",,,2.378751,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1992","1992","EUR","Euro","0","Units",,,0.314809,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1993","1993","EUR","Euro","0","Units",,,0.354775,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1994","1994","EUR","Euro","0","Units",,,0.394072,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1995","1995","EUR","Euro","0","Units",,,0.424155,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1996","1996","EUR","Euro","0","Units",,,0.436017,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1997","1997","EUR","Euro","0","Units",,,0.4505,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1998","1998","EUR","Euro","0","Units",,,0.466064,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","EUR","Euro","0","Units",,,0.494406,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,0.516385,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,0.515672,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1991","1991","EUR","Euro","0","Units",,,0.115053,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1992","1992","EUR","Euro","0","Units",,,0.339205,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1993","1993","EUR","Euro","0","Units",,,0.47255,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1994","1994","EUR","Euro","0","Units",,,0.537509,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1995","1995","EUR","Euro","0","Units",,,0.494569,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1996","1996","EUR","Euro","0","Units",,,0.564865,,
